ID,채용 채널,이름,지원일,포지션,현황,HR,불합격 사유,서류심사,1차면접,2차면접,최종결과
APPS-87,링크드인,후보084,2026년 5월 13일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-86,링크드인,후보085,2026년 5월 15일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-85,링크드인,후보086,2026년 5월 17일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-84,원티드,후보087,2026년 5월 15일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-83,원티드,후보088,2026년 5월 15일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-82,링크드인,후보089,2026년 5월 19일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-81,원티드,후보090,2026년 5월 20일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-80,원티드,후보091,2026년 5월 21일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-79,원티드,후보005,2026년 5월 21일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-78,잡코리아,후보092,2026년 5월 23일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-77,원픽-잡코리아,후보093,2026년 5월 26일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-76,원픽-잡코리아,후보037,2026년 5월 27일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-75,원픽-잡코리아,후보094,2026년 5월 28일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-74,원픽-잡코리아,후보095,2026년 5월 29일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-73,원픽-잡코리아,후보096,2026년 5월 29일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-72,원픽-잡코리아,후보097,2026년 5월 29일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-71,원픽-잡코리아,후보098,2026년 5월 29일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-70,원픽-잡코리아,후보099,2026년 5월 31일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-69,원픽-잡코리아,후보100,2026년 5월 31일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-68,원픽-잡코리아,후보041,2026년 6월 1일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-67,원픽-잡코리아,후보101,2026년 6월 1일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-66,링크드인,후보102,2026년 5월 26일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-65,원티드,후보103,2026년 5월 28일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-64,원티드,후보104,2026년 5월 29일,B2B 영업 매니저 (5년 이상),종료,No,,합격 (비대면),불합격,,
APPS-63,원티드,후보105,2026년 6월 1일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-62,그룹바이,후보106,2026년 5월 28일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-61,그룹바이,후보107,2026년 6월 1일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-60,원픽-잡코리아,후보040,2026년 6월 2일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-59,원픽-잡코리아,후보108,2026년 6월 2일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-58,원픽-잡코리아,후보109,2026년 6월 2일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-57,원픽-잡코리아,후보110,2026년 6월 3일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-56,원픽-잡코리아,후보111,2026년 6월 3일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-55,원픽-잡코리아,후보081,2026년 6월 3일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-54,그룹바이,후보112,2026년 6월 2일,B2B 영업 매니저 (3년 이상),종료,No,,불합격,,,
APPS-53,그룹바이,후보113,2026년 6월 4일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-52,원픽-잡코리아,후보114,2026년 6월 5일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-51,원픽-잡코리아,후보115,2026년 6월 5일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-50,원픽-잡코리아,후보001,2026년 6월 5일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-49,원티드,후보096,2026년 6월 4일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-48,원티드,후보116,2026년 6월 5일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-47,원픽-잡코리아,후보038,2026년 6월 8일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-46,원픽-잡코리아,후보117,2026년 6월 8일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-45,원픽-잡코리아,후보017,2026년 6월 8일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-44,원픽-잡코리아,후보118,2026년 6월 8일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-43,사람인,후보119,2026년 6월 9일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-42,원티드,후보120,2026년 6월 11일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-41,원티드,후보121,2026년 6월 11일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-40,원픽-잡코리아,후보122,2026년 6월 11일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-39,원픽-잡코리아,후보123,2026년 6월 12일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-38,원픽-잡코리아,후보124,2026년 6월 12일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-37,원픽-잡코리아,후보125,2026년 6월 12일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-36,원픽-잡코리아,후보012,2026년 6월 13일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-35,원티드,후보126,2026년 6월 30일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-34,원티드,후보005,2026년 6월 29일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-33,원픽-잡코리아,후보039,2026년 6월 26일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-32,원티드,후보127,2026년 6월 26일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-31,원티드,후보128,2026년 6월 29일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-30,원티드,후보129,2026년 6월 9일,B2B 영업 매니저 (5년 이상),미채용,No,,합격 (비대면),합격 (대면),합격,2026년 7월 3일
APPS-29,원픽-잡코리아,후보130,2026년 6월 25일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-28,그룹바이,후보068,2026년 6월 2일,B2B 영업 매니저 (5년 이상),채용,No,,합격 (비대면),합격 (대면),합격,2026년 7월 3일
APPS-27,원픽-잡코리아,후보131,2026년 6월 23일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-26,원티드,후보132,2026년 6월 23일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-25,원픽-잡코리아,후보133,2026년 6월 23일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-24,링크드인,후보134,2026년 6월 22일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-23,원픽-잡코리아,후보135,2026년 6월 22일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-22,링크드인,후보136,2026년 6월 19일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-21,링크드인,후보137,2026년 6월 19일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-20,링크드인,후보138,2026년 6월 19일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-19,링크드인,후보139,2026년 6월 19일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-18,링크드인,후보140,2026년 6월 19일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
